coorte,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,TEST
2013,12,12,30,30,2014-06-13,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,18
2013,12,12,22,22,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,9
2013,39,36,24,24,2014-06-12,0,0000-00-00,26,2014-07-28,23,2014-09-09,0,0000-00-00,0,2014-09-16,10
2013,15,12,18,18,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2014-06-11,12
2013,36,36,23,21,2014-07-17,0,0000-00-00,28,2014-09-04,20,2014-07-23,0,0000-00-00,0,0000-00-00,9
2013,15,12,23,23,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2014-05-27,8
2013,36,36,29,28,2014-06-13,0,0000-00-00,30,2014-09-03,30,2014-06-27,0,0000-00-00,0,0000-00-00,11
2013,57,57,24,27,2014-07-17,19,2014-09-15,28,2014-09-03,26,2014-07-23,20,2014-09-10,0,0000-00-00,17
2013,60,57,25,28,2014-06-13,18,2014-09-15,29,2014-07-28,29,2014-06-27,22,2014-07-01,0,2014-04-15,20
2013,27,24,27,26,2014-09-12,0,0000-00-00,0,0000-00-00,27,2014-07-23,0,0000-00-00,0,2014-10-07,15
2013,27,24,25,26,2014-09-12,0,0000-00-00,0,0000-00-00,23,2014-06-30,0,0000-00-00,0,2014-10-07,18
2013,36,36,30,0,0000-00-00,31,2014-07-10,31,2014-09-03,28,2014-06-10,0,0000-00-00,0,0000-00-00,19
2013,15,12,27,0,0000-00-00,0,0000-00-00,0,0000-00-00,27,2014-06-10,0,0000-00-00,0,2014-06-26,12
2013,24,24,23,20,2014-09-12,0,0000-00-00,0,0000-00-00,25,2014-07-23,0,0000-00-00,0,0000-00-00,24
2013,48,48,25,27,2014-06-13,22,2014-09-15,29,2014-06-17,22,2014-07-23,0,0000-00-00,0,0000-00-00,15
2013,27,24,23,24,2014-06-12,0,0000-00-00,21,2014-07-29,0,0000-00-00,0,0000-00-00,0,2014-04-08,12
